state,d_month,year,month_only,month,totals,handguns_total,long_guns_total,other_total
Arizona,2006-07-01,2006,07,2006-07,15298,6952,5650,2696
Arkansas,2006-07-01,2006,07,2006-07,11239,3073,5241,2925
California,2006-07-01,2006,07,2006-07,43014,13783,14215,15016
Colorado,2006-07-01,2006,07,2006-07,14434,5931,7540,963
Connecticut,2006-07-01,2006,07,2006-07,6615,1678,1481,3456
Delaware,2006-07-01,2006,07,2006-07,887,416,458,13
District of Columbia,2006-07-01,2006,07,2006-07,0,0,0,0
Florida,2006-07-01,2006,07,2006-07,27812,16479,10750,583
Georgia,2006-07-01,2006,07,2006-07,16505,6547,7087,2871
Guam,2006-07-01,2006,07,2006-07,30,18,12,0
Hawaii,2006-07-01,2006,07,2006-07,622,0,0,622
Idaho,2006-07-01,2006,07,2006-07,5875,1457,3018,1400
Illinois,2006-07-01,2006,07,2006-07,32176,4148,5600,22428
Indiana,2006-07-01,2006,07,2006-07,10460,4474,5819,167
Iowa,2006-07-01,2006,07,2006-07,4425,18,1822,2585
Kansas,2006-07-01,2006,07,2006-07,6005,2597,3287,121
Kentucky,2006-07-01,2006,07,2006-07,58454,5936,7251,45267
Louisiana,2006-07-01,2006,07,2006-07,13336,6704,6427,205
Maine,2006-07-01,2006,07,2006-07,2865,980,1823,62
Mariana Islands,2006-07-01,2006,07,2006-07,3,0,3,0
Maryland,2006-07-01,2006,07,2006-07,4753,474,2636,1643
Massachusetts,2006-07-01,2006,07,2006-07,8906,1336,925,6645
Michigan,2006-07-01,2006,07,2006-07,18924,1854,7773,9297
Minnesota,2006-07-01,2006,07,2006-07,15253,2753,7311,5189
Mississippi,2006-07-01,2006,07,2006-07,9831,4200,5371,260
Missouri,2006-07-01,2006,07,2006-07,12860,3591,8325,944
Montana,2006-07-01,2006,07,2006-07,5688,1505,3694,489
Nebraska,2006-07-01,2006,07,2006-07,2525,0,1347,1178
Nevada,2006-07-01,2006,07,2006-07,5132,2334,1983,815
New Hampshire,2006-07-01,2006,07,2006-07,3790,1090,1541,1159
New Jersey,2006-07-01,2006,07,2006-07,2353,1261,1051,41
New Mexico,2006-07-01,2006,07,2006-07,6371,2479,3155,737
New York,2006-07-01,2006,07,2006-07,11791,2667,6562,2562
North Carolina,2006-07-01,2006,07,2006-07,17174,1158,8491,7525
North Dakota,2006-07-01,2006,07,2006-07,2366,444,1679,243
Ohio,2006-07-01,2006,07,2006-07,18476,7798,10340,338
Oklahoma,2006-07-01,2006,07,2006-07,11421,4873,6258,290
Oregon,2006-07-01,2006,07,2006-07,10303,3993,6043,267
Pennsylvania,2006-07-01,2006,07,2006-07,31458,47,31212,199
Puerto Rico,2006-07-01,2006,07,2006-07,692,543,136,13
Rhode Island,2006-07-01,2006,07,2006-07,632,288,271,73
South Carolina,2006-07-01,2006,07,2006-07,9162,3819,3717,1626
South Dakota,2006-07-01,2006,07,2006-07,2875,612,2225,38
Tennessee,2006-07-01,2006,07,2006-07,16328,6785,6452,3091
Texas,2006-07-01,2006,07,2006-07,52276,17867,24316,10093
Utah,2006-07-01,2006,07,2006-07,7267,1751,3096,2420
Vermont,2006-07-01,2006,07,2006-07,1019,407,593,19
Virgin Islands,2006-07-01,2006,07,2006-07,198,17,3,178
Virginia,2006-07-01,2006,07,2006-07,15635,7765,7647,223
Washington,2006-07-01,2006,07,2006-07,17023,5692,6686,4645
West Virginia,2006-07-01,2006,07,2006-07,7632,2625,4856,151
Wisconsin,2006-07-01,2006,07,2006-07,9068,2675,6389,4
Wyoming,2006-07-01,2006,07,2006-07,2780,752,1698,330
Alabama,2006-06-01,2006,06,2006-06,14332,7407,6668,257
Alaska,2006-06-01,2006,06,2006-06,3665,1642,1937,86
Arizona,2006-06-01,2006,06,2006-06,12970,5744,5052,2174
Arkansas,2006-06-01,2006,06,2006-06,9455,3193,5074,1188
California,2006-06-01,2006,06,2006-06,43634,14262,13796,15576
Colorado,2006-06-01,2006,06,2006-06,14451,6169,7137,1145
Connecticut,2006-06-01,2006,06,2006-06,7367,1962,1734,3671
Delaware,2006-06-01,2006,06,2006-06,1013,428,569,16
District of Columbia,2006-06-01,2006,06,2006-06,5,5,0,0
Florida,2006-06-01,2006,06,2006-06,28963,17212,11145,606
Georgia,2006-06-01,2006,06,2006-06,23212,10325,8858,4029
Guam,2006-06-01,2006,06,2006-06,25,12,13,0
Hawaii,2006-06-01,2006,06,2006-06,706,0,0,706
Idaho,2006-06-01,2006,06,2006-06,6262,1637,3323,1302
Illinois,2006-06-01,2006,06,2006-06,35893,4169,5011,26713
Indiana,2006-06-01,2006,06,2006-06,10988,4867,5934,187
Iowa,2006-06-01,2006,06,2006-06,4817,26,1878,2913
Kansas,2006-06-01,2006,06,2006-06,5773,2429,3209,135
Kentucky,2006-06-01,2006,06,2006-06,14936,6545,7601,790
Louisiana,2006-06-01,2006,06,2006-06,12913,6906,5777,230
Maine,2006-06-01,2006,06,2006-06,3053,1083,1911,59
Mariana Islands,2006-06-01,2006,06,2006-06,0,0,0,0
Maryland,2006-06-01,2006,06,2006-06,5279,482,2783,2014
Massachusetts,2006-06-01,2006,06,2006-06,10599,1646,1065,7888
Michigan,2006-06-01,2006,06,2006-06,19382,1906,7726,9750
Minnesota,2006-06-01,2006,06,2006-06,14368,2924,6242,5202
Mississippi,2006-06-01,2006,06,2006-06,9223,4263,4821,139
Missouri,2006-06-01,2006,06,2006-06,13204,3853,8198,1153
Montana,2006-06-01,2006,06,2006-06,6335,1682,4157,496
Nebraska,2006-06-01,2006,06,2006-06,2513,2,1337,1174
Nevada,2006-06-01,2006,06,2006-06,5175,2206,2016,953
New Hampshire,2006-06-01,2006,06,2006-06,4428,1172,1638,1618
New Jersey,2006-06-01,2006,06,2006-06,2824,1479,1286,59
New Mexico,2006-06-01,2006,06,2006-06,6972,2631,3363,978
New York,2006-06-01,2006,06,2006-06,12990,3039,7062,2889
North Carolina,2006-06-01,2006,06,2006-06,17828,1289,8781,7758
North Dakota,2006-06-01,2006,06,2006-06,2335,478,1639,218
Ohio,2006-06-01,2006,06,2006-06,20468,8416,11681,371
Oklahoma,2006-06-01,2006,06,2006-06,12209,5471,6386,352
Oregon,2006-06-01,2006,06,2006-06,11635,4371,6972,292
Pennsylvania,2006-06-01,2006,06,2006-06,33260,18,32925,317
Puerto Rico,2006-06-01,2006,06,2006-06,770,619,125,26
Rhode Island,2006-06-01,2006,06,2006-06,659,306,285,68
South Carolina,2006-06-01,2006,06,2006-06,9886,3743,3362,2781
South Dakota,2006-06-01,2006,06,2006-06,2807,671,2101,35
Tennessee,2006-06-01,2006,06,2006-06,18581,7038,6019,5524
Texas,2006-06-01,2006,06,2006-06,51519,18013,23412,10094
Utah,2006-06-01,2006,06,2006-06,6865,1826,3494,1545
Vermont,2006-06-01,2006,06,2006-06,1197,538,639,20
Virgin Islands,2006-06-01,2006,06,2006-06,39,24,0,15
Virginia,2006-06-01,2006,06,2006-06,16291,8610,7444,237
Washington,2006-06-01,2006,06,2006-06,19451,6300,7640,5511
West Virginia,2006-06-01,2006,06,2006-06,8047,2969,4912,166
Wisconsin,2006-06-01,2006,06,2006-06,8999,2769,6228,2
Wyoming,2006-06-01,2006,06,2006-06,3012,965,1757,290
Alabama,2006-05-01,2006,05,2006-05,13586,6899,6425,262
Alaska,2006-05-01,2006,05,2006-05,3692,1493,2115,84
Arizona,2006-05-01,2006,05,2006-05,13634,6241,5148,2245
Arkansas,2006-05-01,2006,05,2006-05,9489,3109,4933,1447
California,2006-05-01,2006,05,2006-05,46154,14965,16125,15064
Colorado,2006-05-01,2006,05,2006-05,14543,6011,7446,1086
Connecticut,2006-05-01,2006,05,2006-05,7424,1846,1657,3921
Delaware,2006-05-01,2006,05,2006-05,1124,503,601,20
District of Columbia,2006-05-01,2006,05,2006-05,1,1,0,0
Florida,2006-05-01,2006,05,2006-05,29154,17305,11226,623
Georgia,2006-05-01,2006,05,2006-05,21801,9816,8666,3319
Guam,2006-05-01,2006,05,2006-05,25,11,10,4
Hawaii,2006-05-01,2006,05,2006-05,653,0,0,653
Idaho,2006-05-01,2006,05,2006-05,6389,1553,3548,1288
Illinois,2006-05-01,2006,05,2006-05,40427,4622,5545,30260
Indiana,2006-05-01,2006,05,2006-05,10675,4787,5685,203
Iowa,2006-05-01,2006,05,2006-05,5339,23,1878,3438
Kansas,2006-05-01,2006,05,2006-05,6199,2633,3432,134
Kentucky,2006-05-01,2006,05,2006-05,17563,6270,7379,3914
Louisiana,2006-05-01,2006,05,2006-05,11543,6207,5133,203
Maine,2006-05-01,2006,05,2006-05,3091,1019,1975,97
Mariana Islands,2006-05-01,2006,05,2006-05,1,0,1,0
Maryland,2006-05-01,2006,05,2006-05,4970,672,2688,1610
Massachusetts,2006-05-01,2006,05,2006-05,9723,1589,970,7164
Michigan,2006-05-01,2006,05,2006-05,22708,2203,8626,11879
Minnesota,2006-05-01,2006,05,2006-05,15366,3038,6433,5895
Mississippi,2006-05-01,2006,05,2006-05,8991,4226,4612,153
Missouri,2006-05-01,2006,05,2006-05,13531,3929,8603,999
Montana,2006-05-01,2006,05,2006-05,6468,1609,4215,644
Nebraska,2006-05-01,2006,05,2006-05,2673,1,1417,1255
Nevada,2006-05-01,2006,05,2006-05,5271,2264,2081,926
New Hampshire,2006-05-01,2006,05,2006-05,4405,1107,1699,1599
New Jersey,2006-05-01,2006,05,2006-05,2866,1511,1291,64
New Mexico,2006-05-01,2006,05,2006-05,5820,2490,3209,121
New York,2006-05-01,2006,05,2006-05,13227,2657,7348,3222
North Carolina,2006-05-01,2006,05,2006-05,17722,1105,8312,8305
North Dakota,2006-05-01,2006,05,2006-05,2178,415,1533,230
Ohio,2006-05-01,2006,05,2006-05,21304,9294,11557,453
Oklahoma,2006-05-01,2006,05,2006-05,11746,5151,6291,304
Oregon,2006-05-01,2006,05,2006-05,11344,4068,6994,282
Pennsylvania,2006-05-01,2006,05,2006-05,34441,15,34195,231
Puerto Rico,2006-05-01,2006,05,2006-05,659,537,104,18
Rhode Island,2006-05-01,2006,05,2006-05,783,378,314,91
South Carolina,2006-05-01,2006,05,2006-05,8947,3429,3160,2358
South Dakota,2006-05-01,2006,05,2006-05,2727,678,2011,38
Tennessee,2006-05-01,2006,05,2006-05,18450,6963,5813,5674
Texas,2006-05-01,2006,05,2006-05,49790,17606,22734,9450
Utah,2006-05-01,2006,05,2006-05,6597,1698,3434,1465
Vermont,2006-05-01,2006,05,2006-05,1261,485,759,17
Virgin Islands,2006-05-01,2006,05,2006-05,105,31,1,73
Virginia,2006-05-01,2006,05,2006-05,14838,7810,6826,202
Washington,2006-05-01,2006,05,2006-05,19819,6176,7532,6111
West Virginia,2006-05-01,2006,05,2006-05,7988,2919,4889,180
Wisconsin,2006-05-01,2006,05,2006-05,10358,3100,7257,1
Wyoming,2006-05-01,2006,05,2006-05,2964,875,1768,321
Alabama,2006-04-01,2006,04,2006-04,13751,6825,6680,246
Alaska,2006-04-01,2006,04,2006-04,4057,1618,2347,92
Arizona,2006-04-01,2006,04,2006-04,16031,7536,6185,2310
Arkansas,2006-04-01,2006,04,2006-04,10064,3159,5704,1201
California,2006-04-01,2006,04,2006-04,57810,20942,21348,15520
Colorado,2006-04-01,2006,04,2006-04,15906,6345,8336,1225
Connecticut,2006-04-01,2006,04,2006-04,7842,2060,2077,3705
Delaware,2006-04-01,2006,04,2006-04,1091,469,595,27
District of Columbia,2006-04-01,2006,04,2006-04,5,5,0,0
Florida,2006-04-01,2006,04,2006-04,30047,17303,12113,631
Georgia,2006-04-01,2006,04,2006-04,22267,9768,9506,2993
Guam,2006-04-01,2006,04,2006-04,19,11,6,2
Hawaii,2006-04-01,2006,04,2006-04,679,0,0,679
Idaho,2006-04-01,2006,04,2006-04,6898,1565,4048,1285
Illinois,2006-04-01,2006,04,2006-04,42889,4384,6164,32341
Indiana,2006-04-01,2006,04,2006-04,12413,5012,7149,252
Iowa,2006-04-01,2006,04,2006-04,6654,17,2999,3638
Kansas,2006-04-01,2006,04,2006-04,7022,2685,4165,172
Kentucky,2006-04-01,2006,04,2006-04,20703,6110,9428,5165
Louisiana,2006-04-01,2006,04,2006-04,11967,6418,5360,189
Maine,2006-04-01,2006,04,2006-04,3779,1201,2504,74
Mariana Islands,2006-04-01,2006,04,2006-04,0,0,0,0
Maryland,2006-04-01,2006,04,2006-04,5596,656,3313,1627
Massachusetts,2006-04-01,2006,04,2006-04,10479,1946,1369,7164
Michigan,2006-04-01,2006,04,2006-04,25756,2533,10958,12265
Minnesota,2006-04-01,2006,04,2006-04,19793,3794,10435,5564
Mississippi,2006-04-01,2006,04,2006-04,9356,4307,4888,161
Missouri,2006-04-01,2006,04,2006-04,15701,4289,11212,200
Montana,2006-04-01,2006,04,2006-04,6956,1770,4582,604
Nebraska,2006-04-01,2006,04,2006-04,3252,0,1738,1514
Nevada,2006-04-01,2006,04,2006-04,5903,2441,2445,1017
New Hampshire,2006-04-01,2006,04,2006-04,5370,1390,2244,1736
New Jersey,2006-04-01,2006,04,2006-04,3003,1468,1485,50
New Mexico,2006-04-01,2006,04,2006-04,6659,2716,3823,120
New York,2006-04-01,2006,04,2006-04,13118,986,8620,3512
North Carolina,2006-04-01,2006,04,2006-04,17609,942,9249,7418
North Dakota,2006-04-01,2006,04,2006-04,2803,519,1851,433
Ohio,2006-04-01,2006,04,2006-04,24077,10108,13419,550
Oklahoma,2006-04-01,2006,04,2006-04,13728,5684,7686,358
Oregon,2006-04-01,2006,04,2006-04,14064,4796,8954,314
Pennsylvania,2006-04-01,2006,04,2006-04,39155,0,38480,675
Puerto Rico,2006-04-01,2006,04,2006-04,610,484,117,9
Rhode Island,2006-04-01,2006,04,2006-04,772,350,343,79
South Carolina,2006-04-01,2006,04,2006-04,9208,3590,3749,1869
South Dakota,2006-04-01,2006,04,2006-04,3470,828,2587,55
Tennessee,2006-04-01,2006,04,2006-04,16863,6854,6812,3197
Texas,2006-04-01,2006,04,2006-04,49767,18109,24106,7552
Utah,2006-04-01,2006,04,2006-04,7450,1979,3857,1614
Vermont,2006-04-01,2006,04,2006-04,1766,614,1128,24
Virgin Islands,2006-04-01,2006,04,2006-04,24,17,0,7
Virginia,2006-04-01,2006,04,2006-04,21203,12148,8794,261
Washington,2006-04-01,2006,04,2006-04,20208,6410,8310,5488
West Virginia,2006-04-01,2006,04,2006-04,9084,2983,5944,157
Wisconsin,2006-04-01,2006,04,2006-04,15178,3449,11727,2
Wyoming,2006-04-01,2006,04,2006-04,3357,897,2094,366
Alabama,2006-03-01,2006,03,2006-03,18991,8799,9909,283
Alaska,2006-03-01,2006,03,2006-03,3916,1648,2181,87
Arizona,2006-03-01,2006,03,2006-03,17718,7786,6718,3214
Arkansas,2006-03-01,2006,03,2006-03,13114,4080,7744,1290
California,2006-03-01,2006,03,2006-03,65610,23195,26317,16098
Colorado,2006-03-01,2006,03,2006-03,19787,7804,10350,1633
Connecticut,2006-03-01,2006,03,2006-03,9929,2713,2738,4478
Delaware,2006-03-01,2006,03,2006-03,1413,597,794,22
District of Columbia,2006-03-01,2006,03,2006-03,7,7,0,0
Florida,2006-03-01,2006,03,2006-03,35401,19577,15153,671
Georgia,2006-03-01,2006,03,2006-03,30734,12991,13847,3896
Guam,2006-03-01,2006,03,2006-03,25,14,10,1
Hawaii,2006-03-01,2006,03,2006-03,858,0,0,858
Idaho,2006-03-01,2006,03,2006-03,7753,1774,4363,1616
Illinois,2006-03-01,2006,03,2006-03,42644,6275,9124,27245
Indiana,2006-03-01,2006,03,2006-03,17652,7402,9975,275
Iowa,2006-03-01,2006,03,2006-03,10391,36,4320,6035
Kansas,2006-03-01,2006,03,2006-03,9700,3809,5688,203
Kentucky,2006-03-01,2006,03,2006-03,20689,8490,11751,448
Louisiana,2006-03-01,2006,03,2006-03,16158,8363,7530,265
Maine,2006-03-01,2006,03,2006-03,4676,1566,2966,144
Mariana Islands,2006-03-01,2006,03,2006-03,4,0,4,0
Maryland,2006-03-01,2006,03,2006-03,7116,777,4051,2288
Massachusetts,2006-03-01,2006,03,2006-03,12696,2337,1590,8769
Michigan,2006-03-01,2006,03,2006-03,34002,3547,14381,16074
Minnesota,2006-03-01,2006,03,2006-03,23372,4637,11762,6973
Mississippi,2006-03-01,2006,03,2006-03,12844,5488,7175,181
Missouri,2006-03-01,2006,03,2006-03,19757,5782,13784,191
Montana,2006-03-01,2006,03,2006-03,7596,1917,5000,679
Nebraska,2006-03-01,2006,03,2006-03,4138,1,2143,1994
Nevada,2006-03-01,2006,03,2006-03,7354,3249,2915,1190
New Hampshire,2006-03-01,2006,03,2006-03,6003,1639,2354,2010
New Jersey,2006-03-01,2006,03,2006-03,3626,1704,1857,65
New Mexico,2006-03-01,2006,03,2006-03,8084,3340,4586,158
New York,2006-03-01,2006,03,2006-03,14763,1335,8838,4590
North Carolina,2006-03-01,2006,03,2006-03,25428,1315,12626,11487
North Dakota,2006-03-01,2006,03,2006-03,3179,609,2167,403
Ohio,2006-03-01,2006,03,2006-03,31646,13457,17534,655
Oklahoma,2006-03-01,2006,03,2006-03,15640,6187,9066,387
Oregon,2006-03-01,2006,03,2006-03,15681,5663,9612,406
Pennsylvania,2006-03-01,2006,03,2006-03,50469,1,50145,323
Puerto Rico,2006-03-01,2006,03,2006-03,758,621,123,14
Rhode Island,2006-03-01,2006,03,2006-03,1017,483,441,93
South Carolina,2006-03-01,2006,03,2006-03,12430,4838,5482,2110
South Dakota,2006-03-01,2006,03,2006-03,4217,1050,3118,49
Tennessee,2006-03-01,2006,03,2006-03,22220,8915,10125,3180
Texas,2006-03-01,2006,03,2006-03,56992,21896,29198,5898
Utah,2006-03-01,2006,03,2006-03,8736,2103,4671,1962
Vermont,2006-03-01,2006,03,2006-03,2091,732,1335,24
Virgin Islands,2006-03-01,2006,03,2006-03,27,25,2,0
Virginia,2006-03-01,2006,03,2006-03,20222,9604,10320,298
Washington,2006-03-01,2006,03,2006-03,23090,7428,9280,6382
West Virginia,2006-03-01,2006,03,2006-03,11814,4060,7523,231
Wisconsin,2006-03-01,2006,03,2006-03,19640,4368,15271,1
Wyoming,2006-03-01,2006,03,2006-03,3462,998,2179,285
Alabama,2006-02-01,2006,02,2006-02,21538,9951,11247,340
Alaska,2006-02-01,2006,02,2006-02,3347,1367,1894,86
Arizona,2006-02-01,2006,02,2006-02,17942,8315,7194,2433
Arkansas,2006-02-01,2006,02,2006-02,14833,4781,9191,861
California,2006-02-01,2006,02,2006-02,56086,19479,23368,13239
Colorado,2006-02-01,2006,02,2006-02,17483,6710,9322,1451
Connecticut,2006-02-01,2006,02,2006-02,8294,2333,2202,3759
Delaware,2006-02-01,2006,02,2006-02,1330,545,766,19
District of Columbia,2006-02-01,2006,02,2006-02,209,15,193,1
Florida,2006-02-01,2006,02,2006-02,34987,19428,14913,646
Georgia,2006-02-01,2006,02,2006-02,32217,14021,14944,3252
Guam,2006-02-01,2006,02,2006-02,29,10,18,1
Hawaii,2006-02-01,2006,02,2006-02,750,0,0,750
Idaho,2006-02-01,2006,02,2006-02,7203,1758,4252,1193
Illinois,2006-02-01,2006,02,2006-02,50584,6072,8148,36364
Indiana,2006-02-01,2006,02,2006-02,16975,7213,9545,217
Iowa,2006-02-01,2006,02,2006-02,8725,32,3560,5133
Kansas,2006-02-01,2006,02,2006-02,8796,3227,5349,220
Kentucky,2006-02-01,2006,02,2006-02,23169,9348,13193,628
Louisiana,2006-02-01,2006,02,2006-02,17140,8701,8177,262
Maine,2006-02-01,2006,02,2006-02,3961,1341,2537,83
Mariana Islands,2006-02-01,2006,02,2006-02,0,0,0,0
Maryland,2006-02-01,2006,02,2006-02,7199,747,4316,2136
Massachusetts,2006-02-01,2006,02,2006-02,9873,1882,1372,6619
Michigan,2006-02-01,2006,02,2006-02,29614,3120,12656,13838
Minnesota,2006-02-01,2006,02,2006-02,19535,3864,9556,6115
Mississippi,2006-02-01,2006,02,2006-02,15159,6689,8264,206
Missouri,2006-02-01,2006,02,2006-02,19757,5516,14050,191
Montana,2006-02-01,2006,02,2006-02,6716,1689,4320,707
Nebraska,2006-02-01,2006,02,2006-02,3994,3,2056,1935
Nevada,2006-02-01,2006,02,2006-02,6277,2713,2665,899
New Hampshire,2006-02-01,2006,02,2006-02,4903,1358,2011,1534
New Jersey,2006-02-01,2006,02,2006-02,2860,1331,1470,59
New Mexico,2006-02-01,2006,02,2006-02,8065,3120,4711,234
New York,2006-02-01,2006,02,2006-02,13155,1125,8275,3755
North Carolina,2006-02-01,2006,02,2006-02,26722,1615,14400,10707
North Dakota,2006-02-01,2006,02,2006-02,2624,505,1899,220
Ohio,2006-02-01,2006,02,2006-02,30321,13498,16078,745
Oklahoma,2006-02-01,2006,02,2006-02,17799,7203,10113,483
Oregon,2006-02-01,2006,02,2006-02,13341,4706,8295,340
Pennsylvania,2006-02-01,2006,02,2006-02,41779,0,41377,402
Puerto Rico,2006-02-01,2006,02,2006-02,648,529,103,16
Rhode Island,2006-02-01,2006,02,2006-02,839,408,341,90
South Carolina,2006-02-01,2006,02,2006-02,13668,5662,5947,2059
South Dakota,2006-02-01,2006,02,2006-02,4173,1046,3069,58
Tennessee,2006-02-01,2006,02,2006-02,23568,9862,10843,2863
Texas,2006-02-01,2006,02,2006-02,63683,24255,32697,6731
Utah,2006-02-01,2006,02,2006-02,8535,2015,4643,1877
Vermont,2006-02-01,2006,02,2006-02,1908,752,1133,23
Virgin Islands,2006-02-01,2006,02,2006-02,32,29,3,0
Virginia,2006-02-01,2006,02,2006-02,20005,9595,10146,264
Washington,2006-02-01,2006,02,2006-02,21384,6894,8795,5695
West Virginia,2006-02-01,2006,02,2006-02,12131,3963,7879,289
Wisconsin,2006-02-01,2006,02,2006-02,16305,4478,11826,1
Wyoming,2006-02-01,2006,02,2006-02,3308,941,2084,283
Alabama,2006-01-01,2006,01,2006-01,21531,9362,11790,379
Alaska,2006-01-01,2006,01,2006-01,2804,1186,1565,53
Arizona,2006-01-01,2006,01,2006-01,15655,6979,6666,2010
Arkansas,2006-01-01,2006,01,2006-01,13651,4188,8537,926
California,2006-01-01,2006,01,2006-01,56793,19028,24054,13711
Colorado,2006-01-01,2006,01,2006-01,16176,5985,9003,1188
Connecticut,2006-01-01,2006,01,2006-01,8167,2264,2296,3607
Delaware,2006-01-01,2006,01,2006-01,1368,590,766,12
District of Columbia,2006-01-01,2006,01,2006-01,5,3,1,1
Florida,2006-01-01,2006,01,2006-01,34365,18376,15382,607
Georgia,2006-01-01,2006,01,2006-01,31245,13050,14682,3513
Guam,2006-01-01,2006,01,2006-01,25,10,15,0
Hawaii,2006-01-01,2006,01,2006-01,696,0,0,696
Idaho,2006-01-01,2006,01,2006-01,6262,1489,3486,1287
Illinois,2006-01-01,2006,01,2006-01,41000,5368,8328,27304
Indiana,2006-01-01,2006,01,2006-01,15791,6625,8948,218
Iowa,2006-01-01,2006,01,2006-01,10167,38,3408,6721
Kansas,2006-01-01,2006,01,2006-01,9270,3113,5957,200
Kentucky,2006-01-01,2006,01,2006-01,19922,7960,11409,553
Louisiana,2006-01-01,2006,01,2006-01,18240,8513,9471,256
Maine,2006-01-01,2006,01,2006-01,3559,1166,2315,78
Mariana Islands,2006-01-01,2006,01,2006-01,0,0,0,0
Maryland,2006-01-01,2006,01,2006-01,6726,548,4066,2112
Massachusetts,2006-01-01,2006,01,2006-01,10578,1872,1358,7348
Michigan,2006-01-01,2006,01,2006-01,27823,3013,11075,13735
Minnesota,2006-01-01,2006,01,2006-01,17117,3398,7872,5847
Mississippi,2006-01-01,2006,01,2006-01,15434,6011,9224,199
Missouri,2006-01-01,2006,01,2006-01,18060,4888,13002,170
Montana,2006-01-01,2006,01,2006-01,6064,1478,3968,618
Nebraska,2006-01-01,2006,01,2006-01,4377,4,2354,2019
Nevada,2006-01-01,2006,01,2006-01,6015,2628,2482,905
New Hampshire,2006-01-01,2006,01,2006-01,4757,1239,1900,1618
New Jersey,2006-01-01,2006,01,2006-01,2975,1284,1647,44
New Mexico,2006-01-01,2006,01,2006-01,6831,2686,3999,146
New York,2006-01-01,2006,01,2006-01,13605,1485,7735,4385
North Carolina,2006-01-01,2006,01,2006-01,26341,1452,14338,10551
North Dakota,2006-01-01,2006,01,2006-01,2664,510,1889,265
Ohio,2006-01-01,2006,01,2006-01,25617,11100,13838,679
Oklahoma,2006-01-01,2006,01,2006-01,15734,5808,9519,407
Oregon,2006-01-01,2006,01,2006-01,12235,4560,7400,275
Pennsylvania,2006-01-01,2006,01,2006-01,39264,1,38777,486
Puerto Rico,2006-01-01,2006,01,2006-01,671,552,98,21
Rhode Island,2006-01-01,2006,01,2006-01,848,368,382,98
South Carolina,2006-01-01,2006,01,2006-01,12853,4923,5898,2032
South Dakota,2006-01-01,2006,01,2006-01,3838,960,2823,55
Tennessee,2006-01-01,2006,01,2006-01,22646,8854,9975,3817
Texas,2006-01-01,2006,01,2006-01,64220,22275,32977,8968
Utah,2006-01-01,2006,01,2006-01,7009,1809,4148,1052
Vermont,2006-01-01,2006,01,2006-01,1226,488,719,19
Virgin Islands,2006-01-01,2006,01,2006-01,15,13,2,0
Virginia,2006-01-01,2006,01,2006-01,19217,8811,10175,231
Washington,2006-01-01,2006,01,2006-01,19862,6520,7944,5398
West Virginia,2006-01-01,2006,01,2006-01,10645,3474,6912,259
Wisconsin,2006-01-01,2006,01,2006-01,12780,3781,8997,2
Wyoming,2006-01-01,2006,01,2006-01,3197,891,1990,316
Alabama,2005-12-01,2005,12,2005-12,41364,11003,29957,404
Alaska,2005-12-01,2005,12,2005-12,4788,1752,2944,92
Arizona,2005-12-01,2005,12,2005-12,23033,8733,11814,2486
Arkansas,2005-12-01,2005,12,2005-12,25412,4918,19197,1297
California,2005-12-01,2005,12,2005-12,63213,21649,30222,11342
Colorado,2005-12-01,2005,12,2005-12,24669,7625,15806,1238
Connecticut,2005-12-01,2005,12,2005-12,8523,2346,2905,3272
Delaware,2005-12-01,2005,12,2005-12,2585,745,1824,16
District of Columbia,2005-12-01,2005,12,2005-12,3,3,0,0
Florida,2005-12-01,2005,12,2005-12,51940,20479,30666,795
Georgia,2005-12-01,2005,12,2005-12,52460,15025,34451,2984
Guam,2005-12-01,2005,12,2005-12,34,18,15,1
Hawaii,2005-12-01,2005,12,2005-12,707,0,0,707
Idaho,2005-12-01,2005,12,2005-12,9718,2026,6747,945
Illinois,2005-12-01,2005,12,2005-12,59658,5725,13022,40911
Indiana,2005-12-01,2005,12,2005-12,22781,6293,16225,263
Iowa,2005-12-01,2005,12,2005-12,15026,41,8227,6758
Kansas,2005-12-01,2005,12,2005-12,14331,2868,11269,194
Kentucky,2005-12-01,2005,12,2005-12,33154,9612,23027,515
Louisiana,2005-12-01,2005,12,2005-12,37074,10273,26482,319
Maine,2005-12-01,2005,12,2005-12,5119,1253,3789,77
Mariana Islands,2005-12-01,2005,12,2005-12,0,0,0,0
Maryland,2005-12-01,2005,12,2005-12,10289,663,7898,1728
Massachusetts,2005-12-01,2005,12,2005-12,8920,1943,1647,5330
Michigan,2005-12-01,2005,12,2005-12,34511,3017,20588,10906
Minnesota,2005-12-01,2005,12,2005-12,21666,3504,13476,4686
Mississippi,2005-12-01,2005,12,2005-12,31069,7014,23796,259
Missouri,2005-12-01,2005,12,2005-12,30198,5253,24778,167
Montana,2005-12-01,2005,12,2005-12,8671,1940,6334,397
Nebraska,2005-12-01,2005,12,2005-12,7292,4,5297,1991
Nevada,2005-12-01,2005,12,2005-12,9532,3796,4983,753
New Hampshire,2005-12-01,2005,12,2005-12,5616,1370,2979,1267
New Jersey,2005-12-01,2005,12,2005-12,4171,1294,2824,53
New Mexico,2005-12-01,2005,12,2005-12,10193,3310,6711,172
New York,2005-12-01,2005,12,2005-12,17863,1044,14059,2760
