state,d_month,year,month_only,month,totals,handguns_total,long_guns_total,other_total
Colorado,2017-07-01,2017,07,2017-07,33811,16281,11114,6416
Connecticut,2017-07-01,2017,07,2017-07,14525,5450,1772,7303
Delaware,2017-07-01,2017,07,2017-07,2981,1498,1041,442
District of Columbia,2017-07-01,2017,07,2017-07,68,44,5,19
Florida,2017-07-01,2017,07,2017-07,92822,50859,20136,21827
Georgia,2017-07-01,2017,07,2017-07,35085,12399,7290,15396
Guam,2017-07-01,2017,07,2017-07,145,71,45,29
Hawaii,2017-07-01,2017,07,2017-07,1109,0,2,1107
Idaho,2017-07-01,2017,07,2017-07,11871,3250,3740,4881
Illinois,2017-07-01,2017,07,2017-07,108000,18417,9895,79688
Indiana,2017-07-01,2017,07,2017-07,47145,15553,10467,21125
Iowa,2017-07-01,2017,07,2017-07,8801,112,1705,6984
Kansas,2017-07-01,2017,07,2017-07,13775,5244,4243,4288
Kentucky,2017-07-01,2017,07,2017-07,390494,8826,6401,375267
Louisiana,2017-07-01,2017,07,2017-07,20454,10503,6778,3173
Maine,2017-07-01,2017,07,2017-07,5837,2795,2385,657
Mariana Islands,2017-07-01,2017,07,2017-07,13,11,1,1
Maryland,2017-07-01,2017,07,2017-07,10088,3793,4074,2221
Massachusetts,2017-07-01,2017,07,2017-07,12900,4075,2176,6649
Michigan,2017-07-01,2017,07,2017-07,33378,9396,7947,16035
Minnesota,2017-07-01,2017,07,2017-07,41186,5386,8101,27699
Mississippi,2017-07-01,2017,07,2017-07,14388,7334,4977,2077
Missouri,2017-07-01,2017,07,2017-07,32415,17702,12116,2597
Montana,2017-07-01,2017,07,2017-07,7890,2745,3796,1349
Nebraska,2017-07-01,2017,07,2017-07,4266,116,1262,2888
Nevada,2017-07-01,2017,07,2017-07,8310,3964,2099,2247
New Hampshire,2017-07-01,2017,07,2017-07,8333,4292,2446,1595
New Jersey,2017-07-01,2017,07,2017-07,7034,4351,2519,164
New Mexico,2017-07-01,2017,07,2017-07,10580,5316,3662,1602
New York,2017-07-01,2017,07,2017-07,25576,9615,11527,4434
