Unnamed: 0,state,pop_16,pop_10,pop_chg,foreign_born_pct,owner-occ_housing,med_gross_rent,med_hh_income,no_health_ins,women-owned_firms,min-owned_firms,all_firms,women-owned_prop,min-owned_prop,politics,handguns_total,long_guns_total,other_total,totals,total_NICS_pc,handguns_pc,long_guns_pc,other_pc
29.0,New Jersey,8944469.0,8791953.0,0.017,0.217,0.645,1192.0,72093.0,0.092,252944.0,237242.0,792088.0,0.31933825534536564,0.2995147003868257,Blue,74354.0,51107.0,4064.0,647498,0.0723908820076407,0.008312846743613288,0.005713810400595049,0.0004543590010765312
30.0,New Mexico,2081015.0,2059198.0,0.00011000000000000003,0.00098,0.006809999999999999,777.0,44963.0,0.0010800000000000002,59044.0,60622.0,151363.0,0.3900821204653713,0.4005073895205565,Blue,86080.0,69661.0,38299.0,975771,0.4688918628649962,0.04136443033808022,0.0334745304574931,0.018403999971167914
31.0,New York,19745289.0,19378110.0,0.00019,0.0022500000000000003,0.00536,1132.0,59269.0,0.0007000000000000001,725709.0,709021.0,2008988.0,0.3612311273138515,0.3529244574880487,Blue,156818.0,228054.0,110791.0,2355994,0.11931929687126888,0.007942046328114013,0.011549792965805666,0.005611009289355045
32.0,North Carolina,10146788.0,9535688.0,0.00064,0.0007700000000000001,0.006509999999999999,797.0,46868.0,0.00122,287058.0,183380.0,805985.0,0.3561579930147583,0.2275228447179538,Red,47662.0,223608.0,560900.0,4140364,0.40804676317273997,0.004697250006603075,0.02203731860762243,0.05527857682647947
33.0,North Dakota,757952.0,672591.0,0.0012699999999999999,0.00032,0.006409999999999999,709.0,57181.0,0.0008100000000000001,20316.0,3190.0,68270.0,0.2975831258239344,0.046726234070602016,Red,23209.0,39151.0,25850.0,491630,0.6486294646626699,0.03062067254918517,0.05165366672295871,0.03410506206197754
34.0,Ohio,11614373.0,11536727.0,7e-05,0.00041,0.00663,730.0,49429.0,0.00066,306824.0,122653.0,904814.0,0.3391017380367678,0.1355560369313472,Swing,424290.0,270771.0,327596.0,4540388,0.3909283781397412,0.03653145976971809,0.02331344102690692,0.0282060856836611
35.0,Oklahoma,3923561.0,3751615.0,0.00045999999999999996,0.00058,0.00661,727.0,46879.0,0.00161,105168.0,64875.0,327229.0,0.32138960788927634,0.19825565582512555,Red,195906.0,169633.0,37993.0,2321665,0.5917239466902643,0.04993066247727511,0.04323444952174823,0.009683295353379239
36.0,Oregon,4093465.0,3831072.0,0.0006799999999999999,0.00099,0.00613,907.0,51243.0,0.00073,123015.0,41456.0,339305.0,0.3625499182151751,0.12217916034246475,Blue,199533.0,160739.0,28418.0,1835743,0.4484569918150027,0.04874427899102594,0.03926722226768764,0.006942284836929105
37.0,Pennsylvania,12784227.0,12702857.0,5.9999999999999995e-05,0.00063,0.006920000000000001,840.0,53599.0,0.00067,304803.0,131512.0,975453.0,0.31247328164452826,0.1348214624384773,Blue,696304.0,192820.0,538357.0,6531467,0.5109004244057932,0.05446586641491895,0.015082648329069876,0.04211103260290982
38.0,Rhode Island,1056426.0,1052940.0,2.9999999999999997e-05,0.00133,0.00601,925.0,56852.0,0.0005099999999999999,30484.0,14737.0,94642.0,0.32209801145368866,0.1557131083451322,Blue,15785.0,10477.0,4934.0,156406,0.14805201689469968,0.014941888972819678,0.009917400745532578,0.004670464377060012
39.0,South Carolina,4961119.0,4625410.0,0.00073,0.00047999999999999996,0.00686,790.0,45483.0,0.00119,131856.0,83233.0,367726.0,0.3585713275645453,0.2263451591674236,Red,159579.0,107358.0,290965.0,2188793,0.44118937683212195,0.03216592869471585,0.0216398760037806,0.058649066873824235
